단어,발음,주요뜻,메모,암기여부,저장날짜
in cahoots,,한통속이 되어|꾸민,,미암기,2014-03-08 13:22:20
harper,hάːrpər,하프 연주자|장황하고 지루하게 같은 말을 하는 사람,,미암기,2014-03-08 13:20:37
what does that say about,,~은 어쩌고? ~은 어떻다는 거야?,"1)그럼 네 계획은 어쩌고? What does that say about your plan?
대체 그게 무슨 말이에요? What does that say about me?
",미암기,2014-03-08 13:16:58
clean the slate,,"백지로 돌리다, 기왕의 일은 없었던 것으로 하다","1)다시 한 번 처음부터 시작하면, 나는 알 수 있을 것이다. If I start off with a clean slate, then I'll know.

cf) wipe the slate clean
to start a new and better way of behaving, forgetting about any bad experiences in the past: 
인간관계를 새롭게 하면 예전에 잘못했던 것을 털어내고 다시 시작할 수 있는 계기가 되지.
A new relationship presents you with the opportunity to wipe the slate clean.
",미암기,2014-03-08 13:10:22
bric a brac,bríkəbrӕk,골동품|고물|오래된 기물류,,미암기,2014-03-08 12:48:14
be that as it may,,그것은 그렇다치고|어떻든|어쨌든,,미암기,2014-03-08 12:44:53
get back,,돌아가다|다시|복귀하다|연락하다|되찾다,"1)나는 올해 아빠한테 정말 그럴듯한 농담으로 복수하고 말 거야! I will get back at him this year with a really nice joke!
",미암기,2014-03-08 12:40:36
satin,sǽtn,수자직|공단의|부드러운,,미암기,2014-03-08 12:35:44
lingerie,lὰːnʒəréi,란제리|리넨 제품|속옷류,,미암기,2014-03-08 12:35:11
shell out,,피라미드 놀이의 일종|들이다|기부하다,,미암기,2014-03-08 08:50:49
lap dance,,랩 댄스,,미암기,2014-03-07 23:22:47
sourpuss,,심보가 비뚤어진 사람|음흉한 사람|흥을 깨는 사람,,미암기,2014-03-07 23:19:07
checkbook,tʃékbùk,수표장|수표책,,미암기,2014-03-07 23:18:38
rally,rǽli,시위하다|집회|모이다|회복하다|반등하다,"1)그들은 그의 깃발 아래 모여들었다. They rallied round his standard.
",미암기,2014-03-07 20:22:02
wag,wæg,흔들다,,미암기,2014-03-07 20:20:33
wedgy,wédʒi,쐐기 모양의|속옷이 위로 당겨져 엉덩이 사이에 꼭 끼어 있는 상황|쐐기 같은,,미암기,2014-03-07 20:16:21
yank,jæŋk,홱 잡아당기다|쫓아내다|Yankee,,미암기,2014-03-07 20:14:58
for keeps,,이기면 돌려주지 않기로 약조하고|진정으로|최종적으로,,미암기,2014-03-07 20:11:29
flashlight,flæˈʃlaiˌt,손전등|플래시,,미암기,2014-03-07 20:05:58
un-freaking-believable,,도저히 믿을 수 없는,,미암기,2014-03-07 20:03:47
twerp,twəːrp,시시한 놈|바보,"1)바보같은 이 놈을 우리 모임에 끼워주자. I want this twerp in the group.
",미암기,2014-03-07 19:49:48
I've got your back.,,(미·구어) 내가 도와[밀어]주겠소.,,미암기,2014-03-07 19:48:44
That ship has sailed,,(Originally US) That opportunity has already passed.,,미암기,2014-03-07 19:46:07
cut sb some slack,,(비격식) ~을 덜 몰아붙이다,"1)이봐요, 그 앨 그만 좀 몰아붙여요! 걔도 최선을 다하고 있는 거라구요! Hey, cut him some slack! He's doing his best!
",미암기,2014-03-07 19:41:54
cut sb some slack,,(비격식) ~을 덜 몰아붙이다,,미암기,2014-03-07 19:41:35
clammy,klǽmi,진득거리고 차가운|차갑고 습한|습한,"1)clammy hands 축축한 손  His skin felt cold and clammy.그의 피부는 차갑고 축축했다.
",미암기,2014-03-06 20:33:54
impendig doom,,임박한 파멸이나 종말,,미암기,2014-03-06 20:28:21
shut the hell up,,입다물고 있다.,,미암기,2014-03-06 20:23:50
talking stick,,"발언권 The talking stick, also called a speaker's staff, is an instrument of aboriginal democracy used by many tribes, especially those of indigenous peoples of the Northwest Coast of North America. The talking stick may be passed around a group or used only by leaders as a symbol of their authority and right to speak in public.",,미암기,2014-03-06 20:22:03
long winded,-wíndid,지루한|장황하게 이야기하는|말이 긴,,미암기,2014-03-06 20:18:05
hang back,,앞에 나서길 꺼리다|꺼리다|망설이다,"1)1. To stay behind as others move ahead. 
Hey, can you hang back for a minute? I have a question for you. I'm going to hang back for a bit and take some more pictures of the waterfall.
2. To wait to take action. Hang back on that project until I get these questions answered by the boss.
to lag back behind someone or something; to stay back from someone or something, perhaps in avoidance. Why are you hanging back from the rest of the group? Come on! Don't hang back!

1.  To keep a distance behind others; lag: Everyone surged forward, but I hung back, afraid I'd be crushed. I hung back behind the popular kids as I walked through the hall.

2.  To delay or hesitate on some task; hold off: You should hang back on filling out college applications until you get better test scores.
",미암기,2014-03-06 20:08:59
fixation,fikséiʃən,고착|정착|병적인 집착,,미암기,2014-03-06 20:06:08
weasel,wízl,족제비|회피하다,,미암기,2014-03-06 20:03:53
flappy,flǽpi,느슨한|야무지지 못한|축 늘어진,"1)그렇게 처져있는 살이 있어요, 팔뚝에. There's that flappy part.
이용자 참여 이렇게 헐렁한 걸 입으니까 바보같이 보여 I look stupid with these flappy things.
",미암기,2014-03-06 20:02:14
Get your ass back here,,돌아와,"1)여기서 썩 꺼져. Get your ass out of here.
",미암기,2014-03-06 00:08:15
every so often,,때때로|이따금|자주,,미암기,2014-03-06 00:04:29
back off,,철회하다|…에서 물러나다|차의 속도를 늦추다,"1)그만 둬! 나한테 고함지를 필요 없잖아. Back off! There's no need to yell at me. 
",미암기,2014-03-05 23:54:19
waltz,wɔːlts,왈츠,"1)(비격식) 당당하게 걷다[가다] 
나는 그가 자기 집이라도 되는 양 당당하게 이 집 안으로 걸어들어오는 것이 싫어. I don't like him waltzing into the house as if he owned it.
근데 앨런은 내 동생이라 그냥 (이 모임에) 들어온다고? Now Alan thinks he can waltz right in because he's my little brother?
",미암기,2014-03-04 20:22:24
go through the hoop,,시련을 겪다|고생하다,"1)= jump[be put] through the hoop(s) 
그는 어릴 때 고생하며 컸다. He went through the hoop while he was young.
",미암기,2014-03-04 20:17:29
low  n.,,최저치,"1)최저 기록의[으로] at a new[an all-time] low
새로 최저치에 이르다.hit[reach] a new low
내 인기가 이렇게까지 떨어지다니[인간적인 모멸감의 최저치 기록 갱신이군] Well, that's a new personal low.
",미암기,2014-03-04 18:53:29
foosball,fúːsbɔ̀ːl,탁상 축구 경기,,미암기,2014-03-04 18:44:24
bent out of shape,,취해 있는|비틀거리는|고주망태가 된,,미암기,2014-03-04 18:41:38
hindsight,haiˈndsaiˌt,지나고 나서|사후|뒤늦게,"1)나중에 생각해 보면 분명해 보이는 것이 그 당시에는 전혀 분명하지 않았다. What looks obvious in hindsight was not at all obvious at the time.
나중에 깨닫고 나서 비판을 하기는 쉽다. It's easy to criticize with the benefit of hindsight.
",미암기,2014-03-04 18:39:06
bookie,búki,경마 도박의 물주|사설 마권업자,,미암기,2014-03-04 18:35:56
at half mast,,반기의 위치에 내려|너무 짧아|매듭을 아래쪽으로 늘어 뜨려,,미암기,2014-03-04 18:29:40
Corn Pop,,켈로그에서 만든 옥수수 시리얼,,미암기,2014-03-04 18:27:54
per se,pəːr séi,그 자체로|본질적으로|스스로,,미암기,2014-03-04 18:25:01
drat,dræt,…을 저주하다|악담하다|저런,,미암기,2014-03-04 18:23:54
wise-ass,,[미·속어] 수재; 건방진[잘난 체하는] (녀석),,미암기,2014-03-04 18:17:15
camaraderie,kὰːmərάːdəri,우정|동지임|우애,,미암기,2014-03-04 18:12:52
pick one's nose,,코를 후비다,,미암기,2014-03-04 18:11:20
rudderless,rΛdərlis,키가 없는|지도자가 없는,"1)which do not have a clear aim or a strong leader to follow.
",미암기,2014-03-04 18:08:55
Beano,,가스찬데 먹는 소화제의 일종,,미암기,2014-03-04 17:58:32
good to go,,"순조롭게, 잘 나가서","1)일이 잘되었다.It was good to go.
",미암기,2014-03-04 17:57:22
single-malt,,(위스키가) 블렌드되지 않고 단일 몰트위스키로 된.,"1)single-malt Scotch
",미암기,2014-03-04 17:47:29
make oneself scarce,,떠나다|모습을 감추다|가 버리다,,미암기,2014-03-04 17:42:45
vig,vig,수수료|내기돈|구매자와 판매자가 거래하는 데 이용한 소프트웨어 등에 대한 소액의 수수료,,미암기,2014-03-04 17:42:12
it just wasn’t meant to be.,,그렇게 될 운명이 아니었나봐,"1)나름 최선을 다했는데 아무래도 안 해야 될 팔자인가봐. I tried my best, but it just wasn't meant to be.
그녀는 그 두 사람을 함께 맺어 주려고 온갖 애를 썼지만 그냥 그렇게 될 운명이 아니었던 모양이다. She did everything to get the two of them together, but I guess it just wasn’t meant to be.
",미암기,2014-03-04 11:20:33
