단어,발음,주요뜻,메모,암기여부,저장날짜
abate,əbéit,완화시키다|누그러지다|나아지다|수그러들다|약해지다,"1)【혼돈어휘】abate	[비바람이] 잦아들다; 줄다	abase 	[지위, 평가를] 떨어뜨리다

",미암기,2010-11-11 09:41:32
abject,ǽbdʒekt,비열한|비참한|천한,"1)【혼돈어휘】 abject	비참한, 비열한	adjective	형용사, 부수적인

",미암기,2010-11-11 09:41:32
abjure,æbdʒúər,…을 버리다|저버리다|부인하다|회피하다|취소하다,"1)【혼돈어휘】abjure	버릴 것을 맹세하다	adjure	엄명하다, 간청하다

",미암기,2010-11-11 09:41:32
ablation,æbléiʃən,제거|삭마|절제,"1)【혼돈어휘】ablation	절제, 풍화, 삭마	ablution	&lt;종교&gt;목욕 재계

",미암기,2010-11-11 09:41:32
able,éibl,…할 수 있는|자격 있는|유능한|수완 있는,"1)【혼돈어휘】able	유능한	liable	의무가 있는

",미암기,2010-11-11 09:41:32
abroad,əbrɔ́ːd,해외에|외국에|널리,"1)【혼돈어휘】abroad	외국에, 널리	aboard	배위에, 탑승하여

",미암기,2010-11-11 09:41:32
abrogate,ǽbrəgèit,폐기하다|폐지하다|무효화하다,"1)【혼돈어휘】	abrogate	[법률・습관 등을] 폐지하다	arrogate	[권리 등을] 침해하다												

",미암기,2010-11-11 09:41:32
abstruse,æbstrúːs,난해한|심오한,"1)【혼돈어휘】	abstruse	심오한	obtuse	둔한												

",미암기,2010-11-11 09:41:32
abundant,əbΛndənt,풍부한|많은|과잉,"1)【혼돈어휘】	abundant	풍부한	redundant	장황한			
",미암기,2010-11-11 09:41:32
accede,æksíːd,동의하다|가입하다|받아들이다|응하다|오르다,"1)【혼돈어휘】	accede	동의하다	concede	인정하다	
",미암기,2010-11-11 09:41:32
accept,æksépt,받아들이다|수용하다|인정하다|입학시키다|응하다,"1)【혼돈어휘】	accept	받아들이다	except	제외하고												

",미암기,2010-11-11 09:41:32
acceptable,"ækséptəbl, əkséptəbl",받아들일 만한|허용할 수 있는|인정할 만한|만족스러운|참을 만한,"1)【혼돈어휘】	acceptable 	받아들일 만한	accepted 	일반적으로 인정된												

",미암기,2010-11-11 09:41:32
access,ǽkses,접근|이용|접속|출입,"1)【혼돈어휘】	access	접근	excess	초과, 과잉												

",미암기,2010-11-11 09:41:32
accidental,ӕksədéntl,우발적인|우연한|사고로 인한|실수로,"1)【혼돈어휘】	accidental	우연한	incidental	부수적인												

",미암기,2010-11-11 09:41:32
acclamation,ӕkləméiʃən,환호성|박수 갈채|발성 투표,"1)【혼돈어휘】	acclamation	갈채	acclimation	적응												

",미암기,2010-11-11 09:41:32
acquiescent,ӕkwiésnt,묵묵히 따르는|순종하는|묵인하는,"1)【혼돈어휘】	acquiescent 	묵인하는, 순종하는	quiescent 	정지한, 움직이지 않는												

",미암기,2010-11-11 09:41:32
acquired,əkwáiərd,후천적인|획득한|취득한|습득한|학습된,"1)【혼돈어휘】	acquired 	획득한, 기득의, 후천적인	acquisitive  	탐내는, 욕심 많은												

",미암기,2010-11-11 09:41:32
acrid,ǽkrid,신랄한|매운|쓴,"1)【혼돈어휘】	acrid	쓴, 가혹한, 신랄한	arid	건조한												

",미암기,2010-11-11 09:41:32
activate,ǽktəvèit,…을 활동적이게 하다|가동시키다|활성화시키다,"1)【혼돈어휘】	activate	활기차게 하다	actuate	~하게 하다													

",미암기,2010-11-11 09:41:32
adapt,ədǽpt,적응하다|변화|적용|각색하다|바꾸다,"1)【혼돈어휘】	adapt	적응시키다	adept	숙련된, 숙련자	adopt	채택하다; 양자로 삼다										

",미암기,2010-11-11 09:41:32
addiction,ədíkʃən,중독|과몰입|빠짐|의존|몰두,"1)【혼돈어휘】	addiction	중독	addition	부가[물]												

",미암기,2010-11-11 09:41:32
adduce,ədjúːs,…을 제출하다|…을 인용하다|인증하다,"1)【혼돈어휘】	adduce	[증거로서] 제출하다	educe 	[잠재된 능력을] 끌어내다												

",미암기,2010-11-11 09:41:32
adjoin,ədʒɔ́in,인접한|주변|붙어있는|맞닿은|연결하다,"1)【혼돈어휘】	adjoin	인접하다	adjourn	[회의 등을] 휴회하다												

",미암기,2010-11-11 09:41:32
admission,ædmíʃən,입학|입원|인정|입장|승인,"1)【혼돈어휘】	admission	[공공장소에의] 입장허가, 대학입학허가	admittance	[개인 건물의] 입장허가												

",미암기,2010-11-11 09:41:32
adorn,ədɔ́ːrn,장식하다|꾸미다|…의 아름다움을 돋보이게 하다,"1)【혼돈어휘】	adorn	장식하다; [보석 따위로] 치장하다	adore	 숭배하다, 흠모하다												

",미암기,2010-11-11 09:41:32
adroit,ədrɔ́it,능숙한|교묘한|솜씨있는,"1)【혼돈어휘】	adroit	교묘한, 손재주가 있는	droit 	권리; 권리의 대상; 법률; [pl.] 세금												

",미암기,2010-11-11 09:41:32
adventitious,ӕdvəntíʃəs,우발적인|부정의|외래의,"1)【혼돈어휘】	adventitious	우연한, 우발적인, 부수적인	adventurous	모험을 좋아하는, 모험적인												

",미암기,2010-11-11 09:41:32
adverse,"ædvə́ːrs, -'-",부정적인|반대의|불리한,"1)【혼돈어휘】	adverse	반대의; 불리한	averse	싫어하는												

",미암기,2010-11-11 09:41:32
