단어,발음,주요뜻,메모,암기여부,저장날짜
The question is whether we should go or not.,,문제는 우리가 가야 하느냐 가지 말아야 하느냐 하는 것이다.,,미암기,2012-06-17 21:00:06
This is what I wanted.,,이것이 내가 원했던 것이다.,,미암기,2012-06-17 21:00:06
My aim in life is to become a teacher.,,내 인생의 목표는 선생님이 되는 것이다.,,미암기,2012-06-17 21:00:06
To see is to believe.,,보는 것이 믿는 것이다.,,미암기,2012-06-17 21:00:06
Whether he will come or not does not matter.,,그가 오고 안 오고는 문제가 안 된다.,,미암기,2012-06-17 21:00:06
That you are wrong is clear.,,네가 틀렸다는 것은 명백하다.,,미암기,2012-06-17 21:00:06
Where to build the church is not decided.,,교회를 어디에 지을 것인가는 결정되지 않았다.,,미암기,2012-06-17 21:00:06
Taking a walk is his on-ly exercise.,,산책하는 것이 그의 유일한 운동이다.,,미암기,2012-06-17 21:00:06
To tell a lie is wrong.,,거짓말하는 것은 나쁘다.,,미암기,2012-06-17 21:00:06
"I think that she is right, but he says that she is wrong.",,그가 정직하다는 것은 모두가 알고 있다.,,미암기,2012-06-17 21:00:06
Everybody knows that he is honest.,,그가 정직하다는 것은 모두가 알고 있다.,,미암기,2012-06-17 21:00:06
It was raining and the game was called off.,,비가 와서 그 게임은 취소되었다.,,미암기,2012-06-17 21:00:06
May she return safe!,,그녀가 무사히 돌아오기를!,,미암기,2012-06-17 21:00:06
God bless you!,,신의 은총이 있기를!,,미암기,2012-06-17 21:00:06
May you succeed!,,부디 성공하기를!,,미암기,2012-06-17 21:00:06
How wise the boy is!,,그 소년은 얼마나 현명한가!,,미암기,2012-06-17 21:00:06
What kind girls they are!,,그들은 정말 친절한 소녀들이구나!,,미암기,2012-06-17 21:00:06
What a good camera this is!,,이것은 얼마나 좋은 카메라인가!,,미암기,2012-06-17 21:00:06
How fast he swims!,,그는 정말로 빨리 수영하는구나!,,미암기,2012-06-17 21:00:06
How interesting this story is!,,이 이야기는 정말 재미있구나!,,미암기,2012-06-17 21:00:06
How beautiful she is!,,그녀는 정말 아름답구나!,,미암기,2012-06-17 21:00:06
How well she speaks English!,,그녀는 영어를 참 잘하는구나!,,미암기,2012-06-17 21:00:06
Go back to your seat.,,네 자리로 돌아가거라.,,미암기,2012-06-17 21:00:06
Shall we go to the park after lunch?,,우리 점심 식사 후에 공원에 갈까요?,,미암기,2012-06-17 21:00:06
Let me know as soon as you get there.,,당신이 거기에 도착하는 즉시 나에게 알려 주시오.,,미암기,2012-06-17 21:00:06
Don't let him go there.,,그가 거기에 가지 않도록 하시오.,,미암기,2012-06-17 21:00:06
Let her do it at on-ce.,,그녀에게 그것을 즉시 하도록 시키시오.,,미암기,2012-06-17 21:00:06
Let him wait for a minute.,,그에게 잠깐 기다리게 하시오.,,미암기,2012-06-17 21:00:06
